Roadside Inspection Violations All Violations,,,,,,,,
,Violation Code,Type,Violation Description,# of Inspections,# of Violations,% of Total Violations,# of OOS Violations,%OOS Percent
21,393.95A1,Vehicle,Emergency Equipment - Fire Extinguishers - no fire extinguisher present or not properly rated. ,26713,26729,0.97%,1,0%
22,392.2SLLEWA1,Other,State/Local Laws - Excessive weight - 1-2500 lbs over on an axle/axle groups.,24244,26473,0.96%,268,0.05%
23,393.45DB,Vehicle,Air Brake - Audible air leak at a proper connection.,23148,26006,0.94%,78,0.02%
24,393.60C,Vehicle,Windshield - Damaged or Discolored,25459,25488,0.92%,13,0%
25,392.2SLLIFTA,Other,State/Local Laws - State tax/International Fuel Tax (IFTA) violation.,24593,24972,0.9%,3,0%
26,393.78,Vehicle,Wipers - Inoperative / missing / damaged wipers.,23496,24175,0.87%,41,0.01%
27,393.75CTAOTDLT232,Vehicle,Tires - Less than 2/32 inch tread depth.,18371,24033,0.87%,31,0.01%
28,395.30B1ELDDFR,Driver,HOS (ELD) - Driver failing to review records and certify the accuracy of the informaiton. ,10330,23850,0.86%,1,0%
29,396.5BL,Vehicle,Lubrication - Oil or grease leak.,20427,23128,0.84%,11,0%
30,393.78AWS,Vehicle,Washers - Inoperative washing system. ,22949,22952,0.83%,6,0%
31,393.9ALCL,Vehicle,Lighting - Clearance lamp(s) inoperative.,21071,22575,0.82%,0,0%
32,392.2SLLLR,Driver,State/Local Laws - Lane restriction violation.,21802,22014,0.8%,2,0%
33,393.53BB,Vehicle,Air Brake - CMV manufactured on or after 10/20/1994 has an automatic airbrake adjustment system that fails to compensate for wear.,20687,22002,0.8%,6,0%
34,392.2SLLIRP,Other,State/Local Laws - IRP apportioned tag or registration violation.,20361,21580,0.78%,11,0%
35,392.2W,Other,Excessive Weight violation,10503,21159,0.77%,30,0.01%
36,383.23A2LCDLN,Driver,License (CDL) - Operate a CMV and does not possess a valid CDL.,20535,20575,0.74%,20311,4.13%
37,393.95A4EEUS,Vehicle,Emergency Equipment - Fire Extinguishers - unsecured.,19599,19606,0.71%,0,0%
38,393.9ALTSI,Vehicle,Lighting - Turn signal - Any inoperative on the rearmost vehicle. ,18029,19587,0.71%,19152,3.89%
39,393.9ALLPL,Vehicle,Lighting - License plate lamp inoperative.,19108,19569,0.71%,0,0%
40,395.8A1HOSP,Driver,HOS (Property) - Failing to have a record of duty status using the method prescribed.,19068,19261,0.7%,17839,3.63%
41,391.41AMCPC,Driver,Medical (Certificate) - Operating a property-carrying vehicle without possessing a valid medical certificate.,18928,18971,0.69%,3275,0.67%
42,393.9ALFTSI,Vehicle,Lighting - Front - Turn signal - inoperative.,18014,18953,0.69%,9,0%
43,393.9ALSML,Vehicle,Lighting - Side marker lamp(s) inoperative.,16848,18780,0.68%,0,0%
44,393.9TS,Vehicle,Inoperative turn signal,16637,18695,0.68%,6997,1.42%
45,393.95A,Vehicle,No/discharged/unsecured fire extinguisher,17400,17417,0.63%,3,0%
46,393.9ALSLI,Vehicle,Lighting - Stop lamps - Any inoperative. ,16622,17102,0.62%,467,0.09%
47,392.2SLLUCR,Other,State/Local Laws - Failure to pay UCR fee.,16734,16886,0.61%,3,0%
48,393.9ALHLI,Vehicle,Lighting - Headlamp(s) - Any inoperative.,16226,16466,0.6%,8,0%
49,393.45B2UV,Vehicle,Brake Hose or Tubing Chafing and/or Kinking Under Vehicle,12686,16461,0.6%,1125,0.23%
50,393.60D,Vehicle,Windshield / Windows - Tinting permits less than 70% of light transmittance.,16241,16446,0.6%,0,0%
51,393.75A3,Vehicle,Tire-flat and/or audible air leak,13953,16180,0.59%,14972,3.04%
52,395.8A,Driver,No drivers record of duty status when one is required,9183,15980,0.58%,187,0.04%
53,391.41APC,Driver,Medical (Certificate) - Operating a property-carrying vehicle without a valid medical certificate in possession or on file with the state drivers licensing agency,15719,15755,0.57%,14951,3.04%
54,392.2SLLS3,Driver,State/Local Laws - Speeding 11-14 miles per hour over the speed limit.,15495,15497,0.56%,0,0%
55,396.3A1,Vehicle,"Inspection, repair and maintenance of  parts and accessories",13758,15470,0.56%,1464,0.3%
56,392.16D,Driver,Driver - Failed to use seat belt while operating a CMV.,15310,15332,0.55%,0,0%
57,392.2SLLTL,Other,State/Local Laws - Misc. traffic law violation.,13486,14510,0.52%,12,0%
58,393.9ALRLI,Vehicle,Lighting - Tail lamp - Any inoperative.,13428,13910,0.5%,123,0.03%
59,396.5B,Vehicle,Oil and/or grease leak,12914,13653,0.49%,34,0.01%
60,393.53B,Vehicle,CMV manufactured after 10/19/94 has an automatic airbrake adjustment system that fails to compensate for wear,12871,13411,0.49%,0,0%
61,393.75C,Vehicle,Tire-other tread depth less than 2/32 of inch measured in a major tread groove,10193,13188,0.48%,612,0.12%
62,393.9ALSLIWR,Vehicle,Lighting - Stop lamps - Both inoperative when required to be on.,12968,13077,0.47%,12914,2.63%
63,392.2SLLEWA2,Other,State/Local Laws - Excessive weight - 2501-5000 lbs over on an axle/axle groups.,12107,12892,0.47%,112,0.02%
64,392.2SLLED,Other,State/Local Laws - Excessive dimension (width/height/length).,11968,12879,0.47%,268,0.05%
65,393.11,Vehicle,No or defective lighting devices or reflective material as required,10856,12856,0.47%,303,0.06%
66,393.45B2BHTD,Vehicle,Air Brake - Hose/tubing damage extending through the outer reinforcement ply.,10447,12095,0.44%,11207,2.28%
67,392.2SLLS4,Driver,State/Local Laws - Speeding 15 or more miles per hour over the speed limit.,11531,11536,0.42%,0,0%
68,393.55E,Vehicle,No or Defective ABS Malfunction Indicator Lamp for trailer manufactured after 03/01/1998,11475,11502,0.42%,1,0%
69,396.3A1BALAC,Vehicle,Brake - Audible air leak from a brake chamber,10524,11392,0.41%,189,0.04%
70,393.48A,Vehicle,Inoperative/defective brakes,6025,10768,0.39%,1008,0.2%
71,396.9D2FTF,Vehicle,Failing to correct the violation(s)/defect(s) noted on the roadside inspection report.,9543,10617,0.38%,1,0%
72,392.2SLLSOA,Other,State/Local Laws - State operating authority violation.,10280,10502,0.38%,784,0.16%
73,392.2SLLS1,Driver,State/Local Laws - Speeding 1-5 miles per hour over the speed limit.,10468,10470,0.38%,1,0%
74,383.23A2,Driver,Operating a CMV without a CDL,10300,10426,0.38%,10243,2.08%
75,393.9ALBL,Vehicle,Lighting - Backup lamp inoperative.,10048,10065,0.36%,3,0%
76,393.43DBMA,Vehicle,Brake - Breakaway not attached to the towing vehicle.,9962,9967,0.36%,9844,2%
77,392.2SLLSIV,Other,State/Local Laws - State insurance violation.,9566,9592,0.35%,3,0%
78,392.2SLLMF,Vehicle,State/Local Laws - Wheel (mud) flaps missing or defective.,9352,9554,0.35%,12,0%
79,392.2SLLEWA3,Other,State/Local Laws - Excessive weight - More than 5000 lbs over on an axle/axle groups.,7611,9315,0.34%,43,0.01%
80,393.9AHLLH,Vehicle,Lighting - Headlamp(s) fail to operate on low and high beam.,8799,8902,0.32%,2,0%
81,393.48ABIHE,Vehicle,Hydraulic/Electric Brake - Inoperative other than a steering axle. ,3205,8727,0.32%,57,0.01%
82,393.100BC,Vehicle,Cargo - Cargo not secured to prevent leaking/spilling/blowing/falling from CMV.,8480,8721,0.32%,8542,1.74%
83,393.9H,Vehicle,Inoperable head lamps,8486,8585,0.31%,64,0.01%
84,393.83G,Vehicle,Exhaust - Discharging at a point forward or directly below the driver or sleeper compartment.,8396,8409,0.3%,143,0.03%
85,391.41A,Driver,Operating a property-carrying vehicle without a valid medical certificate in possession or on file with the state drivers licensing agency. History of either failing to produce a medical certificate or having an expired medical certificate.,8378,8385,0.3%,4028,0.82%
86,393.11A1CSLRR,Vehicle,"Conspicuity Systems - Truck tractor, lower rear retro reflective sheeting missing on vehicle manufactured on or after July 1, 1997.",7979,8022,0.29%,0,0%
87,393.9ALTSIR,Vehicle,Lighting - Turn signal - Any inoperative on a unit that is not the rearmost unit,7417,7924,0.29%,57,0.01%
88,396.3A1ALBV,Vehicle,Air Brake - Any leak from a brake valve.,7081,7908,0.29%,18,0%
89,393.11TL,Vehicle,Truck-Tractor lower rear mud flaps retroreflective sheeting / reflex reflective material requirements for vehicles manufactured after July 1997,7810,7837,0.28%,2,0%
90,393.11A1LLPL,Vehicle,Lighting - License plate lamp missing.,7613,7715,0.28%,0,0%
91,393.9ALHWS,Vehicle,Lighting - Hazard warning signal(s) inoperative.,6908,7417,0.27%,1,0%
92,395.3A2HOSPD,Driver,HOS (Property) - Driving beyond the 14 hour after coming on duty following 10 consecutive hours off duty during the current 8 consecutive day period. Date and Time:,5651,7242,0.26%,480,0.1%
93,392.2SLLEWG3,Other,State/Local Laws - Excessive weight - More than 5000 lbs over on allowable gross weight.,7096,7200,0.26%,38,0.01%
94,392.9A2C,Vehicle,Cargo - Vehicle components or dunnage not secured.,6952,7134,0.26%,6843,1.39%
95,393.48ABIBD,Vehicle,Drum Brake - Inoperative other than a steering axle.,4849,7010,0.25%,55,0.01%
96,396.5BHWSL,Vehicle,HUBS - Wheel Seal Leaking.,6191,6999,0.25%,3745,0.76%
97,392.2,Other,Violation of Local Laws - Explain:,6231,6978,0.25%,32,0.01%
98,393.43DB,Vehicle,Brake - Missing or inoperable breakaway braking system on a trailer(s) or converter dolly.,6940,6953,0.25%,6848,1.39%
99,395.30B2ELDDFC24,Driver,HOS (ELD) - Driver failing to certify the record immediately after the final required entry has been made or corrected for the 24 hour period. ,2673,6830,0.25%,1,0%
100,391.11B2Q,Driver,"Driver cannot read and speak the English language sufficiently to converse with the general public, to understand highway traffic signs and signals in the English language, to respond to official inquiries, and to make entries on reports and record.",6771,6798,0.25%,266,0.05%
101,390.19B2BIENNIAL,Other,Motor Carrier failed to file biennial FMCSA registration update as required.,6701,6706,0.24%,15,0%
102,395.3A1HOSPD,Driver,HOS (Property) - Driving more than 11 hours following 10 consecutive hours off duty during the current 8 consecutive day period. Date and Time:,5064,6657,0.24%,528,0.11%
103,395.22GELDMFV,Driver,HOS (ELD) - A portable ELD is not mounted in a fixed position and visible to the driver when seated in the normal driving position. ,6605,6625,0.24%,0,0%
104,393.75A3TAOLTIS,Vehicle,"Tires - All others, leaking and inflation less than 50% of the maximum inflation pressure on tire equipped with ATIS",5873,6481,0.23%,6321,1.28%
105,390.21A,Other,Not marked in accordance with regulations,6377,6452,0.23%,4,0%
106,393.75CTAOTDLT132,Vehicle,Tires - Less than 1/32 inch tread depth at 3 locations/2 adjacent tread grooves.,4947,6445,0.23%,4102,0.83%
107,392.2C,Driver,Failure to obey traffic control device,6383,6404,0.23%,0,0%
108,395.8E1PC,Driver,HOS - False record of duty status driver improper use of Personal Conveyance - NONâ€“OOS,4480,6378,0.23%,290,0.06%
109,393.55D1B,Vehicle,"Air Brake - ABS malfunction lamp defective on truck/bus manufactured on or after March 1, 1997 and each single unit CMV on or after March 1, 1998.",6361,6371,0.23%,0,0%
110,395.22H4ELDBRODS,Driver,HOS (ELD) - In-Vehicle Information - Failing to have a supply of blank driver's records of duty status graph-grids sufficient to record the driver's duty status and other related information for a minimum of 8 days. ,6312,6314,0.23%,2,0%
111,393.205CWRAWFLMIB,Vehicle,Wheel/Rim - Any wheel fasteners loose/missing/ineffective/broken. ,5551,6305,0.23%,23,0%
112,393.11A1CSURR,Vehicle,"Conspicuity Systems - Truck tractor, upper rear retro reflective sheeting missing on vehicle manufactured on or after July 1, 1997.",5912,5999,0.22%,0,0%
113,392.2SLLDL,Other,State/Local Laws - Misc. driver's license violation.,5784,5931,0.21%,144,0.03%
114,396.3A1B,Vehicle,Brakes (general) Explain: ,5464,5789,0.21%,206,0.04%
115,393.45DBAAL,Vehicle,Air Brake - Audible air leak at other than a proper connection.,5453,5679,0.21%,4896,1%
116,395.8EHOSPDOOS,Driver,HOS (Property) - Driver produces a false record of duty status with an apparent attempt to conceal hours. Explain:,4064,5669,0.21%,3390,0.69%
117,393.55C1B,Vehicle,"Air Brake - Truck-tractor manufactured on or after March 1, 1997, not equipped with an ABS system. System does not function or indicates a fault.",5590,5629,0.2%,0,0%
118,392.82DUMT,Driver,Driver - Using a hand-held mobile telephone.,5564,5564,0.2%,0,0%
119,393.9T,Vehicle,Inoperable tail lamp,5368,5549,0.2%,461,0.09%
120,392.16AD,Driver,Driver - Failed to use seat belt while operating a CMV.,5524,5525,0.2%,1,0%
121,393.75A1TEPBM,Vehicle,Tires - Exposed ply or belt material in tread or sidewall area.,4889,5428,0.2%,184,0.04%
122,392.2WG,Other,State/Local Laws - Excessive Weight Violations.,3638,5419,0.2%,2,0%
123,395.8E,Driver,False report of drivers record of duty status,3995,5364,0.19%,2059,0.42%
124,393.11TU,Vehicle,Truck-Tractor upper body corner requirements for retroreflective sheeting or reflex reflective material for vehicles manufactured after July 1997,5288,5296,0.19%,0,0%
125,393.55D2B,Vehicle,"Air Brake - ABS malfunction lamp defective on truck-tractor manufactured on or after March 1, 2001 for towed vehicle. ",5246,5269,0.19%,0,0%
126,393.209ESPSLA,Vehicle,Steering - Power steering leaking anywhere. ,5248,5267,0.19%,2,0%
127,392.9BANOREGINTER,Other,Operating a commercial motor vehicle with no USDOT number when required.,5226,5233,0.19%,23,0%
128,393.19,Vehicle,Inoperative/Defective Hazard Warning Lamp,4854,5193,0.19%,7,0%
129,393.11A1LIL,Vehicle,Lighting - Identification lamp(s) missing.,5058,5172,0.19%,0,0%
130,392.2SLLEWG1,Other,State/Local Laws - Excessive weight - 1-2500 lbs over on allowable gross weight.,5029,5090,0.18%,36,0.01%
131,393.95B,Vehicle,"Emergency Equipment - A power unit requiring fuses - missing a spare fuse for a required part or accessory (e.g., lamps required by 393.11, ABS lights or low air warning light). ",5069,5072,0.18%,0,0%
132,393.41BNPB,Vehicle,Brake - Inoperative or missing parking brake on power unit.,4994,5029,0.18%,4947,1.01%
133,393.45DLUV,Vehicle,Brake Connections with Leaks Under Vehicle,4622,4913,0.18%,134,0.03%
134,393.11A1LCHL,Vehicle,"Lighting - Lamps improper color, height, location.",4502,4892,0.18%,2,0%
135,392.2SLLML,Driver,State/Local Laws - Failure to maintain lane.,4830,4847,0.18%,0,0%
136,393.75GTAOW,Vehicle,"Tires - All others, weight carried exceeds tire load limit.",2634,4632,0.17%,4592,0.93%
137,395.32BELDDFR,Driver,HOS (ELD) - Driver failed to review any unassigned driving time when prompted by the ELD,2321,4536,0.16%,2,0%
138,392.2SLLCP,Driver,State/Local Laws - Operate a CMV while using a cellular phone.,4495,4498,0.16%,0,0%
139,390.21TCMC,Other,Improper size/location/color of required cmv marking(s),4367,4474,0.16%,0,0%
140,392.2FT,Other,State or International Fuel Tax (IFTA) Violation,4353,4432,0.16%,0,0%
141,392.9AA1,Other,Operating Authority - Motor carrier operating a motor vehicle without the required operating authority.,4416,4422,0.16%,4112,0.84%
142,392.16,Driver,Failing to use seat belt while operating a CMV,4353,4375,0.16%,2,0%
143,393.30B,Vehicle,Battery - Not protected.,4307,4313,0.16%,1,0%
144,395.24DELDPT,Driver,"HOS (ELD) - On request by an authorized safety official, a driver must produce and transfer from an ELD the driver''s hours-of-service records in accordance with the instruction sheet provided by the motor carrier.",4259,4296,0.16%,11,0%
145,393.81H,Vehicle,Horn - Inoperative or defective.,4222,4222,0.15%,0,0%
146,393.75A,Vehicle,Flat tire or fabric exposed,3828,4180,0.15%,3717,0.76%
147,393.55C1,Vehicle,"Truck Tractor manufactured on or after March 1, 1997 not equipped with an antilock brake system.",4018,4029,0.15%,2,0%
148,390.21TB,Other,Carrier name and/or USDOT Number not displayed as required,3894,3972,0.14%,2,0%
149,393.75A1,Vehicle,Tire-ply or belt material exposed,3310,3828,0.14%,1008,0.2%
150,392.9BAINACTIVE,Other,"When required to have a USDOT number, operating a commercial motor vehicle with a de-activated or inactive USDOT number.",3797,3799,0.14%,3439,0.7%
151,393.45DLPC,Vehicle,Brake Connections with Leaks - Connection to Power Unit,3714,3780,0.14%,117,0.02%
152,392.2SLLSWZ,Driver,State/Local Laws - Speeding work/construction zone.,3744,3745,0.14%,1,0%
153,395.3A3II,Driver,"Driving beyond 8 hour driving limit since the end of the last on duty, off duty, or sleeper period of at least 30 minutes",3204,3731,0.13%,8,0%
154,395.8AELD,Driver,ELD - No record of duty status (ELD Required),3648,3657,0.13%,3555,0.72%
155,393.45B2PC,Vehicle,Brake Hose or Tubing Chafing and/or Kinking - Connection to Power Unit,3286,3599,0.13%,946,0.19%
156,396.3A1BALR,Vehicle,Air Brake - Fails air loss rate test.,3529,3541,0.13%,3439,0.7%
157,393.47A,Vehicle,Inadequate brakes for safe stopping - Brake Lining condition,3044,3540,0.13%,753,0.15%
158,392.9BAINACTIVEINTRA,Other,Operating a commercial motor vehicle in intrastate commerce without an active USDOT number when required.,3482,3492,0.13%,269,0.05%
159,393.11A1LSML,Vehicle,Lighting - Side marker lamp(s) missing.,3254,3483,0.13%,1,0%
160,393.207A,Vehicle,Axle positioning parts defective/missing,2708,3467,0.13%,2222,0.45%
161,392.2SLLEWG2,Other,State/Local Laws - Excessive weight - 2501-5000 lbs over on allowable gross weight.,3440,3466,0.13%,17,0%
162,393.209E,Vehicle,Power steering violations,3443,3445,0.12%,6,0%
163,395.24C2III,Driver,Driver failed to manually add shipping document number,2615,3442,0.12%,9,0%
164,393.75A2,Vehicle,Tire-tread and/or sidewall separation,3019,3430,0.12%,508,0.1%
165,393.11A1LCL,Vehicle,Lighting - Clearance lamp(s) missing.,3324,3420,0.12%,0,0%
166,395.24C2IIELDTN,Driver,HOS (ELD) - Driver failing to manually input or verify CMV trailer unmber. ,2433,3387,0.12%,0,0%
167,392.8D,Vehicle,Driver - Failed to inspect /use emergency equipment.,3346,3372,0.12%,0,0%
168,393.201AFRCLS,Vehicle,Frame - Cracked/loose/sagging/broken frame or chassis.,2878,3346,0.12%,43,0.01%
169,393.55C2B,Vehicle,"Air Brake - CMV other than truck-tractor manufactured on or after March 1, 1998 not equipped with an antilock brake system. System does not function or indicates a fault.",3279,3332,0.12%,0,0%
170,393.205C,Vehicle,Wheel fasteners loose and/or missing,2830,3264,0.12%,535,0.11%
171,392.2IRP,Other,IRP Apportioned Tag or Registration Violation,3085,3217,0.12%,24,0%
172,395.24C2IIIELDSDN,Driver,HOS (ELD) - Driver failing to manually input or verify shipping document number. ,2277,3065,0.11%,0,0%
173,393.203CCBP,Vehicle,Cab and Body Parts - Hood not securely fastened.,2963,2997,0.11%,3,0%
174,392.7AD,Vehicle,Driver - Failed to conduct pre-trip inspection or make use of required parts and accessories.,2952,2985,0.11%,0,0%
175,396.3A1HCM,Vehicle,"HUBS - Bearing Cap, Plug Or Filler Plug Missing Or Broken.",2438,2930,0.11%,2879,0.59%
176,392.2SLLUP,Driver,State/Local Laws - Unlawfully parking /leaving vehicle on roadway.,2912,2914,0.11%,0,0%
177,391.11B5LNCDLNVL,Driver,"License (Non-CDL) - Operate a CMV without a valid operators license, issued by one State or jurisdiction.",2904,2912,0.11%,2879,0.59%
178,392.9BANOREGINTRA,Other,Operating a commercial motor vehicle in intrastate commerce with no USDOT number when required.,2856,2858,0.1%,71,0.01%
179,395.8F01,Driver,Drivers record of duty status not current,2638,2821,0.1%,65,0.01%
180,393.48ABMBCBD,Vehicle,Drum Brake - Missing/broken component(s).,2504,2809,0.1%,58,0.01%
181,393.75BTFV,Vehicle,"Tires - Front, less than 4/32 inch tread depth.",2519,2791,0.1%,8,0%
182,395.3A2HOSPDIT,Driver,HOS (Property) - Driver driving beyond the 14 hour after coming on duty following 10 consecutive hours off duty at the time of inspection. Time:,2297,2783,0.1%,1500,0.3%
183,393.9BRKLAMP,Vehicle,Inoperative Brake Lamps,2593,2767,0.1%,1657,0.34%
184,392.2UCR,Other,Failure to pay UCR Fee,2744,2753,0.1%,23,0%
185,393.43D,Vehicle,No or defective automatic trailer brake,2628,2723,0.1%,2509,0.51%
186,392.2INAT,Driver,Driver- Inattentive or Distracted Driving.,2674,2681,0.1%,2,0%
187,392.22AD,Driver,Driver - Failed to activate hazard warning signal flashers.,2654,2656,0.1%,0,0%
188,392.2WC,Vehicle,Wheel (Mud) Flaps missing or defective,2619,2649,0.1%,4,0%
189,396.3A1F,Vehicle,Fuel - Dripping leak. ,2586,2626,0.1%,2552,0.52%
190,393.11A1LRR,Vehicle,Lighting - Reflex reflector(s) missing or improper.,2366,2625,0.09%,3,0%
191,393.104BC,Vehicle,Cargo - Damaged securement devices/tiedowns,2253,2551,0.09%,151,0.03%
192,393.207ASAPPCBLM,Vehicle,Suspension - Axle positioning part cracked/broken/loose/missing. ,2279,2548,0.09%,186,0.04%
193,393.104F3C,Vehicle,Cargo - Loose or unfastened tiedown,2358,2534,0.09%,114,0.02%
194,395.30B1,Driver,Driver failed to certify the accuracy of the information gathered by the ELD,1497,2523,0.09%,15,0%
195,391.41B10MC,Driver,Medical (Certificate) - Operating a commercial vehicle without corrective lenses or hearing aid as indicated on the driver's medical certificate.,2502,2502,0.09%,2414,0.49%
196,392.2SLLFC,Driver,State/Local Laws - Following too closely.,2456,2461,0.09%,0,0%
197,393.205CWR,Vehicle,Wheel/Rim - Wheel fasteners loose/missing/ineffective/broken. ,2191,2442,0.09%,1789,0.36%
198,393.23LEU,Vehicle,"Lighting - All electrical systems on towed vehicle(s) inoperative due to no electrical connection (e.g., unplugged or looose pigtail).",2427,2436,0.09%,2403,0.49%
199,392.22BDFPWD,Vehicle,Driver - Failed to place warning devices on the road surface.,2414,2415,0.09%,0,0%
200,395.22H2ELDNISDT,Driver,HOS (ELD) Driver failing to have instruction sheet describing the data transfer mechanisms supported by the ELD and step-by-step instructions for the driver to produce and transfer the driver''s hours-of-service records to an authorized safety official,2311,2323,0.08%,2,0%
201,393.203ECBP,Vehicle,Cab and Body Parts - Cab front bumper missing/not secured/protruding.,2316,2322,0.08%,12,0%
202,392.2MI,Driver,Miscellaneous Traffic Law Violation,2057,2298,0.08%,10,0%
203,393.55D3,Vehicle,No or Defective ABS Malfunction Indicator for towed vehicles on vehicles manufactured after February 2001,2256,2262,0.08%,0,0%
204,393.207FSDAS,Vehicle,Suspension - Deflated air suspension.,1753,2253,0.08%,2172,0.44%
205,393.134BCRHLC,Vehicle,Roll-on/Roll-off/Hook Lift Containers - Improper securement of a roll-on/roll-off and hook lift container.,2179,2217,0.08%,2189,0.44%
206,393.128BCLWV,Vehicle,"Light Weight Vehicles - Improper securement of automobiles, light trucks, and vans.",1969,2206,0.08%,2193,0.45%
207,393.11LR,Vehicle,No Lower rear retroreflective sheeting or reflex reflective materials as required for vehicles manufactured after December 1993,2146,2160,0.08%,0,0%
208,393.95A4EENA,Vehicle,Emergency Equipment - Fire Extinguishers - not readily accessible.,2154,2156,0.08%,0,0%
209,393.201BFR,Vehicle,Frame - Cab or body mounts loose/broken/missing.,1994,2145,0.08%,17,0%
210,393.203C,Vehicle,Hood not securely fastened,2109,2113,0.08%,4,0%
211,393.55C2,Vehicle,"CMV other than truck-tractor manufactured on or after March 1, 1998 not equipped with an antilock brake system.",2079,2100,0.08%,1,0%
212,393.207ASAPPAS,Vehicle,Suspension - Axle positioning part cracked/broken/loose/missing resulting in axle shift.,1787,2057,0.07%,2005,0.41%
213,383.51ASIN,Driver,Driving a CMV while CDL is suspended for a safety-related or unknown reason and in state of driver's license issuance.,2026,2030,0.07%,2015,0.41%
214,395.22H1ELDNUM,Driver,HOS (ELD) - In-Vehicle Information - No user's manual for the driver describing how to operate the ELD. (May be electronic),2014,2020,0.07%,0,0%
215,393.83E,Vehicle,Exhaust - System discharging from a truck or truck-tractor at a location other than at the rear of the cab.,1981,1986,0.07%,6,0%
216,393.110B3C,Vehicle,Cargo - Insufficient tiedowns (w/o headerboard/blocking) for article(s) of cargo longer than 10 feet.,1888,1980,0.07%,1963,0.4%
217,393.45,Vehicle,Brake tubing and hose adequacy,1914,1969,0.07%,1565,0.32%
218,390.21TE2IVD,Other,Driver - Operate a rented CMV without rental agreement on-board vehicle.,1953,1957,0.07%,0,0%
219,395.8K2HOSP,Driver,HOS (Property) - Failing to have in possession RODS for the previous seven consecutive days and available for inspection while on duty.,1928,1955,0.07%,1870,0.38%
220,396.5BHWSLIW,Vehicle,HUBS - Wheel Seal Leaking - Inner Wheel,1717,1949,0.07%,569,0.12%
221,395.24D,Driver,ELD cannot transfer ELD records electronically,1939,1943,0.07%,12,0%
222,395.8,Driver,Record of Duty Status violation (general/form and manner),1522,1941,0.07%,50,0.01%
223,393.203BCBP,Vehicle,Cab and Body Parts - Cab/body mounts loose/broken/missing.,1788,1930,0.07%,12,0%
224,392.2SLLILC,Driver,State/Local Laws - Improper lane change.,1892,1897,0.07%,0,0%
225,395.3A3IHOSPDIT,Driver,HOS (Property) - Driving more than 11 hours following 10 consecutive hours off duty at the time of inspection. Time:,1492,1860,0.07%,1128,0.23%
226,396.5HL,Vehicle,HUBS - Leaking HUB.,1692,1851,0.07%,1417,0.29%
227,393.43,Vehicle,No/improper breakaway or emergency braking,1830,1849,0.07%,1671,0.34%
228,395.8ANONELD,Driver,No record of duty status when one is required (ELD Not Required),1841,1844,0.07%,1771,0.36%
229,393.130CCHVE,Vehicle,"Heavy Vehicles/Equipment - Improper securement of heavy vehicles, equipment or machinery with crawler tracks or wheels.",1789,1841,0.07%,1830,0.37%
230,393.9BLRLIWR,Vehicle,Lighting - Tail lamp - Both lamps on rearmost vehicle inoperative when required to be on.,1836,1839,0.07%,1777,0.36%
